AUNumber,PubSchOrBranchNumber,NCESIdNumber,AddressLine1,AddressLine2,AddressCity,AddressStatePostalCd,AddressZipCd,AddressZipCdP4,AgencyTypeDesc,LocaleCodeFK
300006552,0,"151801 ",4301 S. Washington Street,,Marion,IN,46953,"    ",NULL,NULL
400000015,0,"224305 ",3909 Swiss Avenue,,Dallas,TX,75204,"    ",OTHCU,NULL
400000025,0,"232043 ",1200 Park Road,,Harrisonburg,VA,22802,"    ",NULL,NULL
400000025,1,NULL,1846 Charter Lane,,Lancaster,PA,17605,"    ",OTHCU,NULL
400000035,0,NULL,"                              ","                              ","Deerfield                     ",IL,60015,"    ",OTHCU,NULL
400000045,0,"165945 ","                              ","                              ","South Hamilton                ",MA,01982,"    ",OTHCU,NULL
400000055,0,"165705 ","                              ","                              ","Cambridge                     ",MA,02138,"    ",OTHCU,NULL
400000065,0,NULL,1133 15th Street NW,,Washington,DC,20005,"    ",NULL,NULL
400000065,1,NULL,3800 Horizon Boulevard,,Trevose,PA,19053,"    ",OTHCU,NULL
400000065,2,NULL,760 W. Sproul Road,,Springfield,PA,19064,"    ",OTHCU,NULL
400000065,3,NULL,234 Mall Boulevard,,King of Prussia,PA,19406,"    ",OTHCU,NULL
400000065,4,NULL,Strayer University,300 Allegheny Drive,Warrendale,PA,15086,"    ",OTHCU,NULL
400000065,5,NULL,300 Allegheny Drive,,Warrendale,PA,15086,"    ",OTHCU,NULL
400000065,9,NULL,1601 Cherry Street,Suite 100,Philadelphia,PA,19102,"    ",OTHCU,NULL
400000065,10,NULL,3800 Sierra Cir Ste 300,,Center Valley,PA,18034,8476,OTHCU,NULL
400000075,0,"237154 ",609 South Kanawha St,PO Box 9003,Beckley,WV,25802,9003,OTHCU,NULL
400000075,1,NULL,Mountain State University Center Township Campus,1 Campus Drive,Monaca,PA,15061,"    ",OTHCU,NULL
400000085,0,NULL,350 North Highland Avenue,,Nyack,NY,10960,"    ",OTHCU,NULL
400000100,0,NULL,12401 Willowbrook Road,,Cumberland,MD,21502,"    ",OTHCU,NULL
400000110,0,"176619 ",1435 N. Glendstone Ave.,,Springfield,MO,65802,2131,OTHCU,NULL
400000119,0,"243601 ",PO Box 3030,Estacion Universidad Gurabo,Puerto Rico,PR,00778,3030,OTHCU,NULL
400000120,0,NULL,"                              ","                              ","Louisville                    ",KY,40280,"    ",OTHCU,NULL
400000144,0,NULL,Butterfielld and Meyers Road,,Oak Brook,IL,60521,"    ",OTHCU,NULL
400000159,0,NULL,"275 North Pelsea Drive        ","                              ","Vineland                      ",NJ,08360,"    ",PRIVLIC,NULL
400000159,14,NULL,"1600 Medford Plaza            ","Rt 70 and Hartford Road       ","Medford                       ",NJ,08055,"    ",AO,NULL
400000159,100,NULL,"3905 River Road               ","                              ","Pennsauken                    ",NJ,08110,"    ",PRIVLIC,NULL
400000204,0,"164270 ","                              ","                              ","Westminster                   ",MD,21157,"    ",OTHCU,NULL
400000214,0,NULL,500 Wilcox Street,,Joliet,IL,60435,"    ",OTHCU,NULL
400000224,0,NULL,"                              ","                              ","Cleveland                     ",OH,44106,"    ",OTHCU,NULL
400000254,0,"122603 "," "," ",San Anselmo,CA,94960,2905,OTHCU,NULL
400000319,0,NULL,721 Lockhaven Drive,,Houston,TX,77073,"    ",PRIVLIC,NULL
400000339,0,NULL,"55 Hampshire Road             ","                              ","Methuen                       ",MA,01844,"    ",PRIVLIC,NULL
400000399,0,"375443 ","700 Lakeview Drive            ","                              ","Monroe                        ",OH,45050,"    ",PRIVLIC,NULL
400000409,0,"130527 ",97 Newberry Rd,,East Windsor,CT,06088,"    ",PRIVLIC,NULL
400000449,0,"200064 ","1776 East 17th Street         ","                              ","Cleveland                     ",OH,44114,"    ",PRIVLIC,NULL
400000559,0,NULL,"17w705 Butterfield Road       ","Suite A                       ","Oakbrook Terrace              ",IL,60181,"    ",AO,NULL
400000559,1310,NULL,"Pennsbury High School         ","708 Hood Blvd                 ","Fairless Hills                ",PA,19030,"    ",PRIVLIC,NULL
400000559,1320,NULL,"College Road                  ","                              ","Aston                         ",PA,19014,"    ",PRIVLIC,NULL
400000559,1340,NULL,"Chestnut Hill College         ","                              ","Chestnut Hill                 ",PA,19118,"    ",PRIVLIC,NULL
400000559,1350,NULL,"Holy Family College           ","                              ","Philadelphia                  ",PA,19114,"    ",PRIVLIC,NULL
400000559,1360,NULL,"Lackawanna Jr College         ","                              ","Scranton                      ",PA,18505,"    ",PRIVLIC,NULL
400000559,1370,NULL,"Montgomery Co Community Coll  ","                              ","Blue Bell                     ",PA,19422,"    ",PRIVLIC,NULL
400000559,1380,NULL,Lehigh University,63 University Drive,Bethlehem,PA,18015,3325,PRIVLIC,NULL
400000559,1385,NULL,"York College                  ","Country Club Road             ","York                          ",PA,17405,"    ",PRIVLIC,NULL
400000559,1390,NULL,"Lemont Plaza                  ","609 County Line Road          ","Huntingdon Valley             ",PA,19006,"    ",PRIVLIC,NULL
400000609,0,NULL,"4699 North Federal Highway    ","                              ","Pompano Beach                 ",FL,33064,"    ",PRIVLIC,NULL
400000659,0,"130356 ","1110 NE 163rd Street          ","                              ","North Miami Beach             ",FL,33162,"    ",PRIVLIC,NULL
400000669,0,NULL,"Suite F                       ","2840 East Flamingo Road       ","Las Vegas                     ",NV,89121,"    ",PRIVLIC,NULL
400000709,0,NULL,"Suite 1200                    ","1634 Eye Street NW            ","Washington                    ",DC,20006,"    ",PRIVLIC,NULL
400000759,0,NULL,"Building E                    ","4940 Boswell Road             ","Atlanta                       ",GA,30342,"    ",PRIVLIC,NULL
400000809,0,NULL,"10851 North Black Canyon      ","Highway - Suite 600           ","Phoenix                       ",AZ,85029,"    ",AO,NULL
400000809,100,"366191 ",2611 Corporate West Drive,,Lisle,IL,60532,"    ",PRIVLIC,NULL
400000841,0,"228246 ",6425 Boaz St,,Dallas,TX,75275,0221,NULL,NULL
400000999,0,NULL,"200 Executive Drive           ","                              ","West Orange                   ",NJ,07052,"    ",AO,NULL
400001003,0,NULL,"525 Falconer St., PO Box 20",,Jamestown,NY,14702,"    ",OTHCU,NULL
400001009,0,"207254 ",8820 East Pine Street,PO Box 582833,Tulsa,OK,74158,2833,PRIVLIC,NULL
400001019,0,"240718 ","4373 North 3rd                ","                              ","Laramie                       ",WY,82072,"    ",PRIVLIC,NULL
400001059,0,NULL,C/O Restaurant School At Walnut Hill College,4207 Walnut Street,Philadelphia,PA,19104,"    ",PRIVLIC,NULL
400001099,0,NULL,7190 Elder Lane,,Sun Prairie,WI,53590,"    ",PRIVLIC,NULL
400001119,0,"157207 ",631 S Limestone,,Lexington,KY,40508,3288,NULL,NULL
400001179,0,NULL,"12747 Olive Blvd              ","Suite 214                     ","St Louis                      ",MO,63141,"    ",AO,NULL
400001219,0,NULL,"2295 Millersport Highway      ","PO Box 327                    ","Getzville                     ",NY,14068,"    ",PRIVLIC,NULL
400001259,0,"204486 ","1441 North Cable Road         ","                              ","Lima                          ",OH,45805,"    ",PRIVLIC,NULL
400001269,0,NULL,1760 Mapleton Avenue,,Suffield,CT,06078,"    ",PRIVLIC,NULL
400001279,0,NULL,85 Sigourney Street,,Hartford,CT,06105,"    ",PRIVLIC,NULL
400001505,0,"413644 ",7801 Academy NE,,Albuquerque,NM,87109,"    ",NULL,NULL
400001570,0,"143084 ",639 38th St,,Rock Island,IL,61201,2296,NULL,NULL
400001739,0,NULL,220 Byers Creek Road,,Mooresville,NC,28117,"    ",PRIVLIC,NULL
400001896,0,"377564 ",1900 Commerce St,,Tacoma,WA,98402,3100,NULL,NULL
400002004,0,"131450 ",800 Florida Ave NE,,Washington,DC,20002,3695,OTHCU,NULL
400002089,0,NULL,"PO Box 59                     ","18259 Green RD/59 Alliance Dr ","Ladysmith                     ",VA,22501,"    ",PRIVLIC,NULL
400002089,1,NULL,"                              ","721 Cuthbert Boulevard        ","Cherry Hill                   ",NJ,08002,"    ",PRIVLIC,NULL
400002089,2,NULL,"Training Centers Corp. Office ","PO Box 883                    ","Arden                         ",NC,28704,"    ",AO,NULL
400002105,0,"184348 ","                              ","                              ","Madison                       ",NJ,07940,"    ",OTHCU,NULL
400002139,0,NULL,114 West Fifth Street,,East Liverpool,OH,43920,"    ",PRIVLIC,NULL
400002179,0,NULL,"5700 Southern Blvd, Suite 100",,Virginia Beach,VA,23462,"    ",PRIVLIC,NULL
400002229,0,NULL,"535 Route 38 East, Suite 170A",,Cherry Hill,NJ,08002,"    ",PRIVLIC,NULL
400002428,0,"126669 ",8787 West Alameda Avenue,,Lakewood,CO,80226,"    ",NULL,NULL
400002488,0,"206288 ",4501 Denlinger Rd.,,Dayton,OH,45426,2308,NULL,NULL
400002523,0,"191320 ",175 Ninth Ave,,New York,NY,10011,"    ",NULL,NULL
400002972,0,"130226 ",Mt Carmel Ave,,Hamden,CT,06518,"    ",NULL,NULL
400003104,0,NULL,"                              ","                              ","St Bonaventure                ",NY,14778,"    ",OTHCU,NULL
400003109,0,NULL,"955 Route 5                   ","                              ","Utica                         ",NY,13502,"    ",PRIVLIC,NULL
400003114,0,NULL,1625 W. Fountainhead Parkway,,Tempe,AZ,85282,2371,OTHCU,NULL
400003114,1,NULL,Regus,651 Holiday Drive,Pittsburgh,PA,15200,"    ",OTHCU,NULL
400003114,2,NULL,919 N. 2nd St,,Harrisburg,PA,17101,"    ",OTHCU,NULL
400003114,3,NULL,University of Phoenix Philadelphia Campus,170 S. Warner Road,Wayne,PA,19087,2121,OTHCU,NULL
400003114,5,NULL,Renaissance Philadelphia Hotel,500 Stevens Drive,Philadelphia,PA,19113,"    ",OTHCU,NULL
400003114,6,NULL,University of Phoenix Philadelphia Campus,170 S. Warner Road,Wayne,PA,19087,2121,OTHCU,NULL
400003114,7,NULL,Embassy Suites Hotel,9000 Bartram Avenue,Philadelphia,PA,19153,"    ",OTHCU,NULL
400003114,8,NULL,Sheraton Four Points,910 Sheraton Drive,Cranberrry,PA,19160,9414,OTHCU,NULL
400003114,11,NULL,Park Inn of Delaware County,Route 1 and Route 202,Concordville,PA,19331,"    ",OTHCU,NULL
400003114,12,NULL,University of Phoenix - Philadelphia Center City C,30 S. 17th Street,Philadelphia,PA,19103,4001,OTHCU,NULL
400003114,13,NULL,University of Phoenix Philadelphia Campus,170 S Warner Road,Wayne,PA,19087,2121,OTHCU,NULL
400003114,14,NULL,Quest Diagnostics,1201 South Collegeville Road,Collegeville,PA,19426,2998,OTHCU,NULL
400003114,15,NULL,Hotel Sofitel,120 South 17th Street,Philadelphia,PA,19103,"    ",OTHCU,NULL
400003114,16,NULL,1170 Devon Park Drive,,Wayne,PA,19087,"    ",OTHCU,NULL
400003114,18,NULL,Penn Center West,"Building Six, Suite 100",Pittsburgh,PA,15276,"    ",OTHCU,NULL
400003114,19,NULL,Radisson Hotel Pittsburgh,101 Mall Boulevard,Monroeville,PA,15146,"    ",OTHCU,NULL
400003114,20,NULL,Robinson/Main Learning Center,"Penn Center West Six, Suite 100",Pittsburgh,PA,15276,"    ",OTHCU,NULL
400003114,21,NULL,University of Phoenix Philadelphia Campus,170 S. Warner Road,Wayne,PA,19087,2121,OTHCU,NULL
400003114,22,NULL,Wyndham Garden Harrisburg,765 Eisenhower Blvd,Harrisburg,PA,17111,2308,OTHCU,NULL
400003114,23,NULL,Robinson\Main Learning Center,"Penn Center West Six, Suite 100",Pittsburgh,PA,15276,"    ",OTHCU,NULL
