ID,CIPFAMILY,CIPCode,ACTIONCODE,ReportUnder,CIPTITLE,CIPDESCR,AuditChangeUserName,AuditChangeDate
166,03,03.03,,,Fishing and Fisheries Sciences and Management.,Instructional content is defined in code 03.0301.,CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
167,03,03.0301,,,Fishing and Fisheries Sciences and Management.,"A program that focuses on the scientific study of the husbandry and production of non-domesticated fish and shellfish populations for recreational and commercial purposes and the management of fishing and marine/aquatic product processing to ensure adequate conservation and efficient utilization.  Includes instruction in the principles of marine/aquatic biology, freshwater and saltwater ecosystems, water resources, fishing production operations and management, fishing policy and regulation, and the management of recreational and commercial fishing activities.",CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
168,03,-----,,01.0303,Aquaculture.,(Report under 01.0303),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
169,03,-----,,26.1302,Marine Biology and Biological Oceanography.,(Report under 26.1302),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
170,03,-----,,26.1304,Aquatic Biology/Limnology.,(Report under 26.1304),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
171,03,-----,,49.0303,Commercial Fishing.,(Report under 49.0303),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
172,03,03.04,D,,Forest Production and Processing.,(Deleted),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
173,03,03.0401,D,,Forest Harvesting and Production Technology/Technician.,"(Deleted, Report under 03.0511)",CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
174,03,03.0404,D,,Forest Products Technology/Technician.,"(Deleted, Report under 03.0511)",CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
175,03,03.0405,D,,Logging/Timber Harvesting.,"(Deleted, Report under 03.0599)",CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
176,03,03.0499,D,,"Forest Production and Processing, Other.","(Deleted, Report under 03.0599)",CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
177,03,03.05,,,Forestry.,Instructional content for this group of programs is defined in codes 03.0501-03.0599.,CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
178,03,03.0501,,,"Forestry, General.","A program that generally prepares individuals to manage and develop forest areas for economic, recreational, and ecological purposes.  Includes instruction in forest-related sciences, mapping, statistics, harvesting and production technology, natural resources management and economics, wildlife sciences, administration, and public relations.",CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
179,03,-----,,01.1106,Range Science and Management.,(Report under 01.1106),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
