Source,SourceYear,LookupName,LookupCd,LookupDesc,LookupCategory1,LookupCategory2,LookupCategory3
CCD_LEA,2015,LEA_TYPE,1,"Regular Local School District ",NA,NA,NA
CCD_LEA,2015,LEA_TYPE,2,Regular Local School District (Member of Supervisory Union),NA,NA,NA
CCD_LEA,2015,LEA_TYPE,3,Supervisory Union,NA,NA,NA
CCD_LEA,2015,LEA_TYPE,4,Regional Education Service Agency,NA,NA,NA
CCD_LEA,2015,LEA_TYPE,5,State Operated Agency,NA,NA,NA
CCD_LEA,2015,LEA_TYPE,6,Federally Operated Agency,NA,NA,NA
CCD_LEA,2015,LEA_TYPE,7,Charter Agency,NA,NA,NA
CCD_LEA,2015,LEA_TYPE,8,Other Education Agency,NA,NA,NA
CCD_LEA,2015,STATUS,1,Continuing,NA,NA,NA
CCD_LEA,2015,STATUS,2,Closed,NA,NA,NA
CCD_LEA,2015,STATUS,3,New,NA,NA,NA
CCD_LEA,2015,STATUS,4,Added,NA,NA,NA
CCD_LEA,2015,STATUS,5,Changed boundary,NA,NA,NA
CCD_LEA,2015,STATUS,6,Inactive,NA,NA,NA
CCD_LEA,2015,STATUS,7,Future,NA,NA,NA
CCD_LEA,2015,STATUS,8,Reopened,NA,NA,NA
CCD_SCHOOL,2015,CHARTR,1,Charter School,NA,NA,NA
CCD_SCHOOL,2015,CHARTR,2,Not a Charter School,NA,NA,NA
CCD_SCHOOL,2015,LEVEL,1,Primary,Low grade = PK through 03; high grade = PK through 08,NA,NA
CCD_SCHOOL,2015,LEVEL,2,Middle,Low grade = 04 through 07; high grade = 04 through 09,NA,NA
CCD_SCHOOL,2015,LEVEL,3,High,Low grade = 07 through 12; high grade = 12 only,NA,NA
CCD_SCHOOL,2015,LEVEL,4,Other,"Any other configuration not falling within the above three categories, including ungraded",NA,NA
CCD_SCHOOL,2015,SCHOOL_TYPE,1,Regular School,NA,NA,NA
CCD_SCHOOL,2015,SCHOOL_TYPE,2,Special Education School,NA,NA,NA
CCD_SCHOOL,2015,SCHOOL_TYPE,3,Vocational School,NA,NA,NA
CCD_SCHOOL,2015,SCHOOL_TYPE,4,Other/Alternative School,NA,NA,NA
CCD_SCHOOL,2015,SCHOOL_TYPE,5,Reportable Program,NA,NA,NA
CCD_SCHOOL,2015,STATUS,1,School was operational at the time of the last report and is currently operational.,NA,NA,NA
CCD_SCHOOL,2015,STATUS,2,School has closed since the time of the last report.,NA,NA,NA
CCD_SCHOOL,2015,STATUS,3,School has been opened since the time of the last report.,NA,NA,NA
CCD_SCHOOL,2015,STATUS,4,"School was in existence, but not reported in a previous year’s CCD school universe survey, and is now being added.",NA,NA,NA
CCD_SCHOOL,2015,STATUS,5,School was listed in previous year's CCD school universe as being affiliated with a different education agency.,NA,NA,NA
CCD_SCHOOL,2015,STATUS,6,School is temporarily closed and may reopen within three years.,NA,NA,NA
CCD_SCHOOL,2015,STATUS,7,School is scheduled to be operational within two years.,NA,NA,NA
CCD_SCHOOL,2015,STATUS,8,School was closed on a previous year’s file but has reopened.,NA,NA,NA
CCD_SCHOOL,2015,STITLEI,1,School-wide Title I,NA,NA,NA
CCD_SCHOOL,2015,STITLEI,2,Not School-wide Title I,NA,NA,NA
CCD_SCHOOL,2015,TITLEI,1,Title I Eligible,NA,NA,NA
CCD_SCHOOL,2015,TITLEI,2,Not Title I Eligible,NA,NA,NA
CCD_SCHOOL,2015,TITLEISTAT,1,School is eligible for Title I Targeted Assistance (TAS) but provides no program,NA,NA,NA
CCD_SCHOOL,2015,TITLEISTAT,2,School is eligible for Title I Targeted Assistance (TAS) and provides TAS program,NA,NA,NA
CCD_SCHOOL,2015,TITLEISTAT,3,School is eligible for Title I Schoolwide program (SWP) and provides TAS program,NA,NA,NA
CCD_SCHOOL,2015,TITLEISTAT,4,School is eligible for Title I Schoolwide program (SWP) but provides no program,NA,NA,NA
